,Solic,prediccion
0,49128,0
1,69792,0
2,69838,1
3,69868,0
4,70334,0
5,70430,0
6,70566,0
7,71438,0
8,72510,1
9,73010,0
10,73022,0
11,73274,0
12,73420,0
13,76016,0
14,77452,1
15,78222,0
16,78232,0
17,78236,1
18,78244,0
19,78256,0
20,78260,0
21,78262,1
22,78268,0
23,78270,0
24,78282,1
25,78284,0
26,78312,0
27,78448,0
28,78512,0
29,78516,1
30,78528,1
31,78554,0
32,78560,0
33,78590,0
34,78598,0
35,78608,1
36,78870,0
37,78910,0
38,78952,0
39,78990,0
40,79022,0
41,79062,0
42,79098,0
43,79110,0
44,79146,0
45,79184,1
46,80318,0
47,80580,0
48,81252,0
49,81266,0
50,81338,1
51,81346,0
52,82042,0
53,82440,0
54,82636,0
55,82862,0
56,82868,0
57,82934,0
58,83600,0
59,83604,0
60,83718,0
61,83780,0
62,84364,0
63,84384,0
64,84406,1
65,85068,0
66,85078,0
67,85084,0
68,85128,1
69,85152,1
70,85630,0
71,85632,0
72,86138,0
73,86142,0
74,86222,0
75,86606,0
76,86608,0
77,86634,0
78,86740,1
79,86768,0
80,86816,0
81,87004,0
82,87052,0
83,87252,1
84,87290,0
85,87598,0
86,87740,0
87,88024,0
88,88254,0
89,88512,0
90,88914,0
91,89372,0
92,89376,1
93,90204,0
94,90210,0
95,90322,0
96,90444,0
97,91724,0
98,92036,1
99,92052,0
100,92152,0
101,92204,1
102,92246,1
103,92258,1
104,92270,1
105,92294,0
106,92352,1
107,92510,0
108,92646,0
109,92668,1
110,92786,0
111,92788,0
112,92792,0
113,92838,0
114,92840,1
115,92864,0
116,92900,0
117,92948,0
118,92950,1
119,92998,1
120,93000,1
121,93038,0
122,93066,1
123,93070,1
124,93082,0
125,93088,1
126,93092,0
127,93098,1
128,93120,1
129,93122,0
130,93124,1
131,93130,0
132,93144,0
133,93148,0
134,93152,1
135,93164,0
136,93186,0
137,93198,0
138,93218,1
139,93222,0
140,93224,0
141,93228,0
142,93232,0
143,93258,0
144,93262,0
145,93264,0
146,93266,0
147,93270,1
148,93282,1
149,93288,0
150,93296,1
151,93302,1
152,93340,0
153,93354,0
154,93358,0
155,93360,1
156,93362,0
157,93372,0
158,93390,0
159,93394,0
160,93398,1
161,93406,0
162,93408,0
163,93412,0
164,93416,1
165,93418,1
166,93424,1
167,93426,0
168,93432,0
169,93436,0
170,93450,0
171,93454,1
172,93456,1
173,93460,0
174,93464,1
175,93466,0
176,93468,0
177,93474,0
178,93476,0
179,93478,0
180,93482,1
181,93484,0
182,93486,0
183,93488,0
184,93490,0
185,93494,0
186,93500,0
187,93502,0
188,93510,1
189,93512,0
190,93526,0
191,93534,0
192,93536,0
193,93544,0
194,93570,0
195,93600,0
196,93640,1
197,93648,0
198,93654,1
199,93690,0
200,93698,0
201,93704,0
202,93708,1
203,93712,1
204,93738,0
205,93744,0
206,93746,0
207,93760,1
208,93778,0
209,93780,0
210,93782,0
211,93784,0
212,93796,0
213,93800,0
214,93802,0
215,93804,0
216,93808,1
217,93814,0
218,93816,0
219,93828,0
220,93832,0
221,93834,0
222,93836,1
223,93838,0
224,93848,1
225,93862,1
226,93870,1
227,93874,0
228,93884,0
229,93904,0
230,94260,1
231,94272,1
232,94288,1
233,94348,1
234,94374,0
235,94426,0
236,94528,0
237,94548,0
238,94566,0
239,94570,0
240,94584,0
241,94630,0
242,94680,1
243,94732,0
244,94768,0
245,94770,0
246,94778,0
247,94784,1
248,94812,0
249,94830,0
250,94832,1
251,94844,0
252,94854,0
253,94858,0
254,94860,0
255,94862,0
256,94864,1
257,94866,1
258,94896,0
259,94898,0
260,94900,0
261,94904,0
262,94906,0
263,94910,1
264,94916,0
265,94918,0
266,94922,0
267,94924,1
268,94932,0
269,94940,0
270,94946,0
271,94948,0
272,94952,0
273,94956,0
274,94964,1
275,94968,0
276,94970,0
277,94978,0
278,94980,0
279,94982,0
280,94984,0
281,94988,1
282,94990,1
283,94992,1
284,94994,0
285,95002,0
286,95004,0
287,95014,0
288,95016,0
289,95024,0
290,95032,1
291,95038,0
292,95040,0
293,95052,0
294,95054,0
295,95062,0
296,95076,0
297,95082,0
298,95084,0
299,95090,0
300,95092,0
301,95094,0
302,95108,0
303,95118,0
304,95120,0
305,95124,0
306,95130,0
307,95136,0
308,95154,0
309,95158,0
310,95166,0
311,95168,0
312,95172,1
313,95176,0
314,95194,0
315,95200,0
316,95202,0
317,95210,1
318,95214,1
319,95216,0
320,95218,0
321,95224,0
322,95230,0
323,95232,0
324,95234,0
325,95236,1
326,95242,0
327,95246,0
328,95250,0
329,95258,0
330,95260,0
331,95264,0
332,95266,0
333,95272,0
334,95274,0
335,95278,0
336,95280,0
337,95282,0
338,95290,1
339,95292,1
340,95298,0
341,95300,0
342,95304,0
343,95306,0
344,95312,0
345,95318,0
346,95320,1
347,95330,0
348,95338,0
349,95348,0
350,95358,0
351,95360,0
352,95362,0
353,95368,0
354,95370,0
355,95386,1
356,95390,0
357,95398,0
358,95404,0
359,95410,0
360,95420,0
361,95432,0
362,95442,1
363,95444,0
364,95462,0
365,95474,0
366,95486,0
367,95516,0
368,95518,1
369,95524,0
370,95546,0
371,95552,1
372,95554,0
373,95560,0
374,95568,0
375,95592,0
376,95596,1
377,95600,0
378,95610,1
379,95620,0
